,created_at,tweet
0,2022-04-08 16:59:55,"↑ #HCT PRICE = 0,008787 Rank = #2,302 #AVAX = 9543,64 $HCT 1D: +63.08% CHANGING = 5,6 ▁▃▅"
1,2022-04-08 16:59:33,@goodguyaugust Lost all my avax and wmemo cos you guys used a fake site to steal them yesyerday. Chatted with you on telegram and after i reported the issue on the telegram page. I was blocked and all my chat with you just conveniently disappeared. Nice play
2,2022-04-08 16:59:29,"I am bullish on $AVAX long term and am a bag holder. That being said, it makes absolutely zero sense to me to back a stable coin with it??"
3,2022-04-08 16:59:23,@B3rquo #AVAX has been quite an innovative project for decentralization. It is one of the few that currently takes the #DeFi concept seriously.
4,2022-04-08 16:59:08,🐜 Ant #6685 (common) - Colony Stage: 10 - Sold for 0.27 AVAX. 🐜    https://t.co/xZqMsS5mQ3  https://t.co/yaANVuyxCT  https://t.co/FGpjIJbNE7
5,2022-04-08 16:58:23,@Meta_UFO #BEAM #HIGH #AVAX @Milad14390823 @MohammadMolaei
6,2022-04-08 16:57:51,@OxFrictio Cradaba doesn’t give u avax right?
7,2022-04-08 16:57:25,36 Yarış Atı Fiyatına Satılan NFT At! Türkiye’de ortalama bir yarış atı 60.000 TL civarında satılıyor. Bundan yaklaşık 2 saat önce #zedrun  koleksiyonundan #NFTs at 147.000 dolara yani kabaca 36 yarış atı fiyatına satıldı. #BTC #Giveaway  #PolygonNFT  #SOL  #AVAX  #NFTGame
8,2022-04-08 16:56:55,"@avatoad A bit late, but hope you had an awesome day #AVAX Avanger."
9,2022-04-08 16:56:55,"↓ #TRU PRICE = 0,214912 Rank = #266 #AVAX = 390,21 $TRU 1D: -3.64% CHANGING = -4,9 ▅▃▁"
10,2022-04-08 16:56:48,APPRECIATE YOU BIG DOGS‼️🤝🔺 #AVAX #LAFAMILA #CULTURE  https://t.co/whcI7wJ98b
11,2022-04-08 16:56:45,@i_sunshine_9 @LittleGhostsNFT #crosschain #Fantom #AVAX #ETH #MultiChain #P2E  https://t.co/dFNnV2eILg
12,2022-04-08 16:56:32,"↓ #ZERO PRICE = 0,003424 Rank = #6,878 #AVAX = 24491,82 $ZERO 1D: +3.57% CHANGING = -23,14 ▅▃▁"
13,2022-04-08 16:56:31,"@EverRise #EverRise #EverRiseNFT $Rise 5 chains BSC, MATIC, ETH, FTM, AVAX"
14,2022-04-08 16:56:15,The paper hands on the way to sell for a loss 🤣😂 #NFTs #nftart #Crypto #cryptocurrecy #ETH #BTC #SHIB #DOGE #cryptocurrency #LUNA #AVAX #BITGERT #SOL  https://t.co/P5GZwH7FyL
15,2022-04-08 16:56:09,@el33th4xor The #AVAX blockchain continues to sweep interoperability if you ask me about preferences. I'll take security without risking decentralization.
16,2022-04-08 16:56:09,#EverRise  $0.000989 Δ -3.1% 🔴 $70.9M Market Cap -3.1% 50930 Hodlrs +0.1%  $0.000985 (#Eth) Δ -5.8% 🔴 $0.001060 (#BNB) Δ -1.0% 🔴 $0.000976 (#Polygon) Δ -1.3% 🔴 $0.000942 (#Ftm) Δ -4.7% 🔴 $0.000975 (#Avax) Δ -2.9% 🔴  🔐 $40.2M Staked TVL  $7.4M LP $2.1M Buyback  https://t.co/1SAW5MirbV
17,2022-04-08 16:55:13,@necessarygrowth I took a decision on #AVAX and i'm just saying thank God finally i'm making it.
18,2022-04-08 16:55:11,@boredapewood @LittleGhostsNFT #P2E #Metaverse #crosschain #ETH #Cronos #AVAX #Fantom  https://t.co/O1NpPlrvmD
19,2022-04-08 16:54:42,@Avax_News @Arkanian03 @polar_nodes DONE❤️❤️❤️  @Babli_4545 @prasadchamind10  #Giveaway #Node #AvaxNews #AVAX $AVAX
20,2022-04-08 16:54:19,The #AVAX in #terra #luna
21,2022-04-08 16:53:41,Terra Turns To AVAX Reserves To Stay Ahead Of Competitors  https://t.co/tfckHH0g4R
22,2022-04-08 16:53:40,でもまあ、同意もなんもしてないのに勝手に組み込まれたBTCさんのことを思えば、同意して組み込まれたっぽいAVAXさんはこの運命を受け入れたとも言える。
23,2022-04-08 16:53:09,@avatoad It's time to grow up and shine with the #LUNA #AVAX bro. Figuratively and literally hehe.
24,2022-04-08 16:53:08,@1goonrich @LittleGhostsNFT #Metaverse #ETH #Cronos #BNBchain #AVAX #P2E #GameFi  https://t.co/j6r7oUh3uX
25,2022-04-08 16:52:34,"Görev 1: FTX TR’ye üye olun ve KYC(Kimlik doğrulama) işleminizi tamamlayın, Görev 2: Hesabınıza 100 TL veya daha fazla Türk lirası yatırın,  Görev 3: Etkinlik süresi boyunca AVAX/TRY işlem çiftinde 100 TL veya daha fazla AVAX alım veya satım işlemi yapın.  👇👇👇  https://t.co/rqyylf08X5"
26,2022-04-08 16:52:33,🎉yeni #airdrop  AVAX Alım-Satım Yapan FTX TR Kullanıcıları 2.000.000 TRY’lik Ödül Havuzunu Paylaşıyor!  🎉Ödüller:  üç görevi de tamamlayan yeni kullanıcılara 100 TL değerinde AVAX verilecektir.🔥  katılım linki:👇 🔗 https://t.co/Iy2CrKaiaJ  👉katılım şartları: 👇👇👇  https://t.co/7PrRpyibh8
27,2022-04-08 16:52:16,"@necessarygrowth And how about I take advantage of the #AVAX dip to stop being a wagie? I mean, the usefulness of this amazing token has increased."
28,2022-04-08 16:52:11,"@avatoad GM, my friend. Happy and bullish with all this news about #AVAX. Have a nice weekend🤗"
29,2022-04-08 16:51:46,…En kötü coin şu düşüşten sonra yuzde 60-70 yaptı cly kımıldamadı bile. Yazıklar olsun yatırımcı dostları #xava #cly #avax
30,2022-04-08 16:51:25,How do people have so much $AVAX that they keep selling it relentlessly?  Save the red coin
31,2022-04-08 16:51:11,@avalancheavax @el33th4xor @terra_money It's always great to hear our teacher clarify certain points. I won't miss it for anything. Congrats on this amazing partnership between #AVAX and #LUNA.@el33th4xor
