drop_this,open,high,low,Volume USD,compound,positive,negative,neutral,polarity,subjectivity,price_change
48,3029.73,3044.32,3025.85,344260.5976116909,1.0,0.134,0.039,0.827,0.1969738335034211,0.4991366791301628,0.0
56,3044.06,3063.61,3023.56,1129287.8557887212,1.0,0.131,0.046,0.823,0.17985922020469725,0.49300850712659866,0.0
120,3262.26,3262.26,3247.27,347966.4448559972,1.0,0.136,0.045,0.82,0.18966291080224518,0.49319807435174445,0.0
152,3283.39,3292.05,3258.6,800854.2366268837,1.0,0.148,0.05,0.802,0.18263610573515596,0.5065302245359663,0.0
240,3519.48,3523.37,3501.5,500997.58272124326,0.9995,0.121,0.036,0.843,0.2709624413145541,0.4936697965571203,0.0
