,open,high,low,Volume USD,compound,positive,negative,neutral,polarity,subjectivity,price_change
32,110.46,110.52,108.8,20778.826551597802,-0.9995,0.074,0.099,0.827,-0.02220575955347531,0.4389972696508234,0.0
33,109.72,110.44,107.95,18681.199703452003,-0.9927,0.075,0.087,0.838,0.035347689971923134,0.45664422234207536,1.0
34,113.36,113.36,110.25,13600.5720607575,0.9949,0.084,0.064,0.853,0.019751410205955656,0.4443410293410292,0.0
35,117.0,117.0,112.54,6947.4177127680005,0.9998,0.09,0.05,0.86,0.06037009255112703,0.45290220347978954,0.0
36,114.04,116.67,114.04,39376.7393939554,0.9984,0.111,0.046,0.843,0.08114203257060398,0.4230398701827273,1.0
37,113.79,114.26,113.79,7026.639430895801,0.9992,0.121,0.054,0.825,0.06492697432017817,0.4103273021476906,1.0
38,111.83,112.04,111.43,2303.9839784203,0.9875,0.066,0.033,0.9,0.03670851370851373,0.3886926406926407,0.0
39,114.38,114.38,113.01,12275.899257956398,0.9979,0.08,0.035,0.885,0.0737442433453071,0.3819472076386972,0.0
40,113.09,114.26,113.09,2215.5208276278,0.9994,0.09,0.035,0.875,0.0637348387348387,0.3952376077376078,1.0
41,114.3,114.3,113.34,4817.1604611796,1.0,0.091,0.008,0.901,0.07275441699222188,0.3569952574525746,0.0
42,112.85,117.9,112.29,45274.4402202422,0.9998,0.129,0.053,0.819,0.12194240944240949,0.5374389499389498,1.0
43,108.09,112.95,108.09,29766.6431076708,0.9994,0.1,0.026,0.874,0.14019300144300148,0.40836418698260807,1.0
44,102.55,107.51,102.55,3132.4875426610997,0.9979,0.102,0.056,0.842,0.07025243031821979,0.4250739538239539,1.0
45,104.12,104.27,102.92,16794.960786786003,0.9993,0.12,0.023,0.856,0.04380368308939738,0.38760393046107333,0.0
46,104.62,104.83,104.28,4435.864813479,0.9946,0.081,0.023,0.896,0.1785513868847202,0.4213510769066325,1.0
47,103.92,106.38,103.4,9368.122012308,0.9959,0.072,0.028,0.901,0.12649112554112554,0.380584632034632,1.0
48,98.88,105.01,98.02,12652.643884233601,0.9788,0.061,0.033,0.906,0.044063606847697764,0.4370757083825266,1.0
49,105.14,105.14,99.02,7637.546709572802,0.9924,0.105,0.047,0.848,0.11196013289036547,0.4491971207087486,0.0
50,105.65,107.24,105.65,3679.6938933076003,0.9976,0.098,0.045,0.857,0.14789154704944174,0.4510196353354247,1.0
51,107.22,107.23,105.41,11614.117829756999,0.9831,0.06,0.031,0.909,0.07847610722610726,0.4200237262737262,0.0
52,106.25,108.88,105.77,12697.022101564397,0.9979,0.102,0.047,0.852,0.06847943722943721,0.3886926807760142,1.0
53,105.3,105.92,101.91,17657.921577903002,0.9947,0.079,0.034,0.887,0.11151987683677822,0.4410211267605634,0.0
54,106.36,106.38,103.18,9846.8935059944,0.9839,0.08,0.056,0.864,0.07142929292929293,0.4467962962962962,0.0
55,106.28,108.67,104.0,12435.2114118232,0.989,0.063,0.035,0.902,0.1008201058201059,0.4318959435626101,0.0
80,129.22,129.22,129.22,0.0,-0.9949,0.064,0.098,0.838,0.0037349837662337625,0.5049717261904763,1.0
81,129.27,129.27,129.22,1042.4749999664,0.9831,0.105,0.075,0.82,0.02088675213675214,0.529594017094017,0.0
82,129.45,129.54,129.38,11526.8559429654,0.9627,0.14,0.112,0.749,0.1387272727272727,0.5474242424242424,1.0
83,130.31,130.31,130.31,0.0,0.9075,0.096,0.043,0.861,0.048214285714285716,0.3945833333333333,1.0
84,130.31,130.31,130.31,215.9747437014,0.9973,0.114,0.061,0.825,0.06370257452574522,0.4655802361595044,1.0
85,131.8,132.29,131.8,392.8617439671,0.9952,0.087,0.058,0.855,0.06302352529625256,0.4330475753203023,1.0
86,132.05,132.05,132.05,2825.6811685,0.9847,0.073,0.054,0.873,0.07386846309718649,0.4142691528329827,1.0
87,131.26,131.26,131.26,0.0,0.9989,0.091,0.037,0.872,0.11891219400068954,0.45458299812282094,1.0
88,131.26,131.26,131.26,5708.8212276081995,0.9915,0.068,0.038,0.895,0.1159106047722119,0.4462476833682189,1.0
89,131.27,131.27,131.27,0.0,0.7211,0.079,0.071,0.85,0.06651515151515153,0.4348635794030529,1.0
90,130.82,132.21,130.82,3016.061688580401,0.9991,0.114,0.06,0.826,0.11887739724433276,0.4235292149606665,1.0
91,129.39,129.39,128.99,1015.8709713272,0.9948,0.084,0.052,0.864,0.11759467384467384,0.43019642394642393,0.0
92,128.49,128.49,128.49,0.0,0.9964,0.079,0.039,0.882,0.08533296130952378,0.3644438244047619,1.0
93,128.49,128.49,128.49,0.0,0.9852,0.072,0.054,0.874,0.12155128473676864,0.4673176465111949,1.0
94,128.79,129.36,127.86,16472.5187374449,0.994,0.094,0.067,0.839,0.17283514415867351,0.3910282799988682,0.0
95,132.12,132.12,132.12,0.0,0.999,0.107,0.031,0.861,0.1229247015610652,0.49909659784659777,1.0
96,132.12,132.12,132.12,1015.8719589216,0.9968,0.092,0.041,0.867,0.11380427170868346,0.47805115227909334,1.0
97,131.27,133.29,131.27,12834.9241788456,0.9942,0.076,0.043,0.881,0.1231958041958042,0.45698568098568104,1.0
98,132.27,132.67,128.88,13031.733897063,0.9967,0.104,0.04,0.856,0.08830300988319856,0.44212713387241687,0.0
99,132.67,132.67,131.46,17244.193391560802,0.9971,0.08,0.013,0.907,0.1109511557624765,0.4215442838084348,0.0
100,138.27,138.27,138.27,0.0,0.9968,0.089,0.053,0.858,0.03576945929887105,0.37432319926805224,1.0
101,138.27,138.27,138.27,0.0,0.9972,0.093,0.05,0.857,0.10076729500273189,0.40873289332027185,1.0
102,138.0,138.27,138.0,20.2298910132,0.975,0.074,0.055,0.871,0.08533868092691621,0.4229426619132501,1.0
103,137.73,137.73,137.73,7993.8492,0.9967,0.09,0.054,0.856,0.015640244329564724,0.3958216352148393,1.0
104,138.53,138.53,138.53,0.0,0.9545,0.096,0.074,0.83,0.11235287944378851,0.4554629410993049,1.0
105,138.53,138.53,138.53,3998.020849956,0.5231,0.046,0.035,0.919,0.0027153306463651413,0.34912362541672887,1.0
106,137.25,137.25,137.25,976.22844561,0.9896,0.103,0.059,0.838,0.18675820707070703,0.470407196969697,1.0
107,137.89,137.89,137.89,0.0,0.9971,0.072,0.021,0.907,0.07007700632700632,0.458255772005772,1.0
108,137.89,137.89,137.89,0.0,0.9984,0.122,0.084,0.794,0.12536689500975218,0.49949633699633683,1.0
109,137.99,137.99,137.89,382.1117348261,0.9955,0.084,0.052,0.864,0.07083562623816862,0.427468082764693,0.0
110,137.11,137.21,137.09,11019.6625841353,0.9991,0.093,0.041,0.866,0.045253036315536316,0.4008604844229843,0.0
111,137.44,137.94,137.44,9004.9712906076,0.9956,0.065,0.038,0.897,0.018165842094413517,0.3976922284065142,1.0
112,136.55,136.65,136.55,5972.30484097,0.9983,0.094,0.041,0.865,0.08209107201042681,0.4119815668202762,1.0
113,134.64,134.64,134.64,31.511973636,0.9996,0.128,0.048,0.824,0.08273272727272732,0.4571484559884562,1.0
114,136.0,136.06,136.0,165.20016748700002,0.9982,0.096,0.049,0.856,0.12370332538871869,0.4098932746404655,1.0
115,134.17,134.17,134.17,28.899751088400002,0.9994,0.103,0.029,0.868,0.1577551933020683,0.45188285383597876,1.0
116,134.93,134.93,134.62,261.36874167599996,0.9978,0.086,0.029,0.884,0.14402958152958156,0.42910654160654177,0.0
117,135.53,135.53,135.53,51.48406435770001,0.998,0.109,0.047,0.845,0.20097887187439425,0.502022355753699,1.0
118,137.23,137.23,137.23,994.9175,0.9931,0.075,0.036,0.888,0.0491904337492573,0.4079213882522705,1.0
119,138.92,138.92,138.92,0.0,0.9982,0.089,0.028,0.883,0.1549234736119982,0.4253041539516949,1.0
120,138.92,138.92,138.92,0.0,0.9832,0.08,0.06,0.859,0.10547252992105934,0.3930669616331381,1.0
121,138.92,138.92,138.92,0.0,0.9987,0.104,0.04,0.856,0.2043121855621856,0.4528686966186968,1.0
122,138.92,138.92,138.92,0.0,0.9967,0.106,0.037,0.857,0.12972605877367782,0.4657556288508669,1.0
123,138.92,138.92,138.92,0.0,0.9957,0.091,0.042,0.868,0.09444669913419913,0.4780088834776335,1.0
124,138.92,138.92,138.92,0.0,0.9889,0.092,0.059,0.849,0.034419971919971926,0.5054990054990055,1.0
125,136.6,138.92,136.6,42680.3232110732,0.9266,0.07,0.057,0.873,0.06750789997625442,0.38994227994227987,1.0
126,136.17,137.83,136.17,3169.3755278723997,0.9977,0.096,0.056,0.848,0.10986365160660938,0.4590191146881289,1.0
127,139.41,139.41,139.41,0.0,0.9834,0.065,0.05,0.885,0.0384912488944747,0.4254674626448821,1.0
152,139.96,141.91,139.96,1951.733585462,-0.8137,0.061,0.069,0.871,0.005423728813559308,0.3548399246704332,1.0
416,169.31,169.78,166.84,4483.9102810887,0.992,0.107,0.068,0.825,-0.06789215686274509,0.36505991285403067,1.0
417,170.4,170.7,168.83,3966.3335673,0.9164,0.098,0.08,0.821,0.018946105574012544,0.3968327796234773,0.0
418,169.27,170.87,167.84,14345.829974044,0.9834,0.069,0.034,0.898,0.10189956043956043,0.4877894505494506,1.0
419,171.35,171.35,171.35,0.0,-0.9548,0.08,0.084,0.836,0.027615694164989955,0.44412586630896494,1.0
420,171.56,172.03,171.35,2540.947374814,0.9974,0.11,0.058,0.833,0.016304347826086977,0.4857401656314699,0.0
421,173.13,173.13,170.96,9601.6082082789,0.9969,0.065,0.042,0.892,0.04247241579558654,0.40733804361853143,0.0
422,173.4,173.4,173.4,0.0,0.8567,0.08,0.072,0.848,0.07138329263329266,0.4621972934472935,1.0
423,172.27,173.4,172.27,1518.219165546,0.9991,0.109,0.049,0.842,0.030282369146005513,0.4399527744982291,1.0
424,173.57,173.93,173.57,1338.4759200109,0.9972,0.123,0.082,0.795,0.06643705393705393,0.4462262587262586,1.0
425,173.89,173.89,173.12,2699.4923708610004,0.9997,0.125,0.032,0.843,0.11257373737373735,0.39181034151034144,0.0
426,173.12,173.99,173.12,2680.472946791,0.9973,0.076,0.027,0.896,0.03778516457087887,0.3766938088366659,1.0
427,173.02,173.49,172.9,2685.235390474,0.9968,0.09,0.051,0.859,0.10239774114774118,0.447416056166056,0.0
