,created_at,tweet
35,2022-04-08 16:59:18,Traditional Asia coin dump event   $BTC $ETH $SOL $AVAX.X ️  https://t.co/IdDG2uRh71
36,2022-04-08 16:59:16,25495) Current #Bitcoin Price is $42285 #BTC #Crypto Indicators Daily: RSI: 43.7 MA(20): 44692 MA(50): 41769 MA(200): 48216 Bollinger B. lower/upper: 40698/48685  #Ethereum Price is $3193 #ETH RSI: 51.7 MA(20): 3238 MA(50): 2914 MA(200): 3487 BB: 2846/3629  #VAIOT Price: $0.045
37,2022-04-08 16:59:14,@AAPEQueens @Fityeth @apocalypticapes @AShawThing_ @CryptoBooty69 @creationnft_eth @kboiciuc @stekisteks @NeoApeOfficial @hughbenjamin How do we get on presale? If we have aapes?
38,2022-04-08 16:59:14,咦咦 推特用戶開始嫌棄名稱後面附加的 .eth 了嗎？👻   https://t.co/41rH6Q0Hb6
39,2022-04-08 16:59:14,Eth is well
40,2022-04-08 16:59:14,@chitaglorya__ @bjortframtid @Prism_eth @Zebec_HQ @nftasac bismillah menang buat beliin baju mamak lebaran 🔥🔥🔥
41,2022-04-08 16:59:14,@AAPEQueens @Fityeth @apocalypticapes @AShawThing_ @CryptoBooty69 @creationnft_eth @kboiciuc @stekisteks @NeoApeOfficial @hughbenjamin  https://t.co/KmqkWWx5fc
42,2022-04-08 16:59:13,@itsjustayy_eth drip drippin 💧
43,2022-04-08 16:59:10,@veezyvangogh @ROXY_M_7874 @Mazkgang @pandamancrypto @cryptonerd_eth @emperortach
44,2022-04-08 16:59:09,$LTC going to be a monster year #Litecoin   $btc $eth $sol $doge $shib $ada $luna $cro
45,2022-04-08 16:59:09,@JackNiewold Destroy DeFi? A bit of a reach? Could it hurt ETH?
46,2022-04-08 16:59:09,@flashking @AlexAlveen @fns_eth
47,2022-04-08 16:59:06,"@leo5imon @tinydinosnft Amazing, i think 2 eth tomorrow or Fud ceo"
48,2022-04-08 16:59:04,@FameVault_eth 🙏
49,2022-04-08 16:59:04,@zengjiajun_eth 你这长视频怎么发的？
50,2022-04-08 16:59:03,@trisnt_eth @MindblowonNFT @1_8ote @boxout08 @chibs08 @the_mu_0 @imsogayle
51,2022-04-08 16:59:02,@trisnt_eth @MindblowonNFT @1_8ote @xueqiu88 @Watchtower_CN @bettermejay
52,2022-04-08 16:59:01,#hackers  im a hacker and i love it   https://t.co/x4L5BhRMkC
53,2022-04-08 16:59:01,@trisnt_eth @MindblowonNFT @1_8ote @mb08_him @mb04sifu @mbskenny
54,2022-04-08 16:59:00,"📢📢 2/ Upcoming  # NFT Drops Today 📢📢   💎@YakuzaKumiai Yakuza Kumiai ⏰Mint Date(UTC): Apr. 09, 2022 15:00:00 🔗Link:  https://t.co/mXELJ3V2lr  💎@A_G_Eth Amateur Guardians of Ethereum ⏰Mint Date(UTC): Apr. 09, 2022 23:30:00 🔗Link:  https://t.co/vGNIEURrzx"
55,2022-04-08 16:59:00,@SixthReseau @SixthVentures @DegenPasss @WyattJa52821391 @WHDJYL @WHSJaguars @WHDHSports @BeSjBtfc4vTjycY @OwKyd @wjejjp   Eth Wallet: 0x5BE2Ac85AE10e25A791F729E3d6BfDbbdaF1Dd85  Discord :PhrogMan#7272
56,2022-04-08 16:59:00,New $ENS domain registrations   santiarenas.eth
57,2022-04-08 16:59:00,"My biggest giveaway for you guys!   I’ll send 5 people a nft or eth who retweet , like and follow me. good luck! ☕️  https://t.co/Sg61YzoGIm"
58,2022-04-08 16:58:59,@CnftPromotions @Global_VillMeta @eth_k1ng @jonnycavesSOL @wolfpackcardano
59,2022-04-08 16:58:58,@DKLORD89 @EntrepotApp @EgidoVal @dfinity @Voster_ @CboNFTs @Aiden65130441 @waynew3633 @Asiye_G56 @arcane_eth
60,2022-04-08 16:58:58,"@Sandra_Bitget Btc, eth, Ada, bnb, avalanche, Solana, luna."
61,2022-04-08 16:58:58,@CandyHuntersNFT @Mazkgang @Uzzi_fx @93tilFaeva @nadi_eth
62,2022-04-08 16:58:57,#ETH   #BNB この2つはなかなか面白そう👀  https://t.co/xiOpbNa9d7
63,2022-04-08 16:58:57,@metaMori_ @shadows_eth 🤍
64,2022-04-08 16:58:57,@hugo_eth rwC3he7c9dZYVuN77NyKCmHCstFSXLD7if
65,2022-04-08 16:58:55,#NFT #DegenSpaceHost  https://t.co/XbD3KCxIuV
66,2022-04-08 16:58:53,@SommerRay 0.05 $ETH   https://t.co/I79BEztN4n  https://t.co/7eD7EpLtbh
67,2022-04-08 16:58:53,@cordero2096 @twonmv3 @FriscoQuarter @sutranation @Beej136 @DaoGoose @manuhomez @con3joblanco @cryptoaxel98 @errecevision @ClaudioDeAlba1 @livinkelana @4DaOcean @CryptoKMV @edgar_ameka @nomadacity @lenim131 @OPINERO @Pau_LinaNFT @robertocn802 @wira_eth @Woelnft @chrizzynft_ @malu_eth @nftkikon @Limfork @johngfx_nft 🥰 the dream team
68,2022-04-08 16:58:52,@metawizardsnft @AlexAlveen @fns_eth
69,2022-04-08 16:58:51,"#STPTUSDT Bear Alert!  5X Volume Price:      0.09389 5-min %: -0.51% Volume:  $4,484   #crypto #whale #btc #eth #STPT $STPT  https://t.co/IM4oL78afr"
70,2022-04-08 16:58:49,@tapirpunks Imagine whale setup 10+ wallet. huhu. dorang ni kalau fomo mmg gg bro. apa2 pun dorang snggup buat. Beli genesis smpai 10+ eth pun sanggup. Semata2 nk wl.
71,2022-04-08 16:58:49,@NFTpromoters20 @eth_sude @gulhanaydos @denizxyk @FurkanSimsekler
72,2022-04-08 16:58:49,@togafrankie I try to stay 50/50 but I also need to get some more ETH NFTs off so its about 20/80 right now.
73,2022-04-08 16:58:48,"@peewhee_eth @KingdomNFT @gh0stlygh0sts @newtoshofipy @wavyss15o9 😯 you are so lucky, kingdomNft 🔥"
74,2022-04-08 16:58:47,@fataleth #ETH
75,2022-04-08 16:58:46,"@peewhee_eth @KingdomNFT @gh0stlygh0sts Let’s go @peewhee_eth congratulations bro, you secured the bag. @KingdomNFT let’s get it 🔥🔥🔥🔥🔥"
76,2022-04-08 16:58:46,@berly_eth  https://t.co/YqRyCnvT8p
77,2022-04-08 16:58:45,#ToonSquadNFT #N   https://t.co/u71MMRSii7
78,2022-04-08 16:58:45,@punk9059 @plum_eth 😹
79,2022-04-08 16:58:44,@DigiSharksNFT @toro_eth
80,2022-04-08 16:58:42,@plum_eth Easy @ILYYWNFT and @chillbearclub both get several free drops for doing nothing but holding
81,2022-04-08 16:58:40,"@abductingmfers When I have .014 eth, I'm all over it 🛸🔥"
82,2022-04-08 16:58:39,@metanunber_eth Did you checked @MintHuntersNFT ? An absolute banger incoming!!
83,2022-04-08 16:58:36,HAPE #6362 sold for 1.347 ETH! Buyer: shanhanif Seller: BCR78Vault   https://t.co/8WigyO6U12
84,2022-04-08 16:58:34,"Enter the digital world with enthusiasm, waiting for millions.  The opportunity is missed if you have not entered this world years ago.  It's hard to get a million dollars.  Wait for the monkey's head to burn while he's thinking about the money.  #NFTGiveway #NFT  #ETH #Oracle  https://t.co/X9YP1Cm2V3"
85,2022-04-08 16:58:33,Twitter accounts dropping “.eth” from usernames   https://t.co/bHN5Lcr7E4  Discussions:  https://t.co/fbIDuUifm1
86,2022-04-08 16:58:33,@theryanking @shaunmmaguire Anything with an .eth should be ignored if not outrightly laughed at.
87,2022-04-08 16:58:33,$ETH long: $ETH has taken a short term reversal .eth is bearish in 4hr time frame but there is reversal in 15 min ….. …………….. …………… ……………. ………………. ……………… ………………. ……………………… ……………… …………… …………  https://t.co/njArtk3Iz0  https://t.co/hOHXFJNGX2
88,2022-04-08 16:58:33,@nftleoo @MindblowonNFT @TED3166 @0xSAVIOUR @BinsNft @PapaBear994 @riooir25 @Dagelanco @pandez_ @trisnt_eth @andhikataa @lickpalik that is sick
89,2022-04-08 16:58:33,@NFThappyfeet @LonelyLegendNFT @pandamancrypto @cryptonerd_eth @emperortach
90,2022-04-08 16:58:32,The bearish count for #ETH Note price ran right into the sell side algo at the .618 Green box is my buy opportunity IF we get there. It would align nicely with the merge expected shortly after which would result in the price moving out of the bear market.  https://t.co/OKSwQKrRyb
