unix,date,symbol,open,high,low,close,Volume AVAX,Volume USD
1650931200,2022-04-26 00:00:00,AVAX/USD,72.81001,72.81001,72.81001,72.81001,26.00000000,1893.0602600000002
1650927600,2022-04-25 23:00:00,AVAX/USD,72.53000,72.89000,72.53000,72.89000,35.67348188,2600.2400942331997
1650924000,2022-04-25 22:00:00,AVAX/USD,72.50000,72.69000,72.50000,72.69000,19.65246633,1428.5377775277
1650920400,2022-04-25 21:00:00,AVAX/USD,71.97597,71.97597,71.97597,71.97597,0.00000000,0.0
1650916800,2022-04-25 20:00:00,AVAX/USD,71.97597,71.97597,71.97597,71.97597,13.85528494,997.2475731828919
1650913200,2022-04-25 19:00:00,AVAX/USD,71.13420,71.71149,70.79353,71.71149,2428.18739337,174128.9359777788
1650909600,2022-04-25 18:00:00,AVAX/USD,70.54000,71.40000,70.54000,71.25785,118.71190126,8459.154853199892
1650906000,2022-04-25 17:00:00,AVAX/USD,70.98001,71.30379,70.98001,71.30379,2.19000000,156.1553001
1650902400,2022-04-25 16:00:00,AVAX/USD,69.43000,70.88205,69.43000,70.77000,78.73050583,5571.757897589099
1650898800,2022-04-25 15:00:00,AVAX/USD,69.96000,70.12001,69.60591,69.60591,163.77818651,11399.929710178274
1650895200,2022-04-25 14:00:00,AVAX/USD,69.94000,70.13000,69.94000,70.13000,43.27646388,3034.9784119043998
1650891600,2022-04-25 13:00:00,AVAX/USD,69.70000,69.95003,69.70000,69.91040,140.77455232,9841.605262512127
1650888000,2022-04-25 12:00:00,AVAX/USD,69.26000,69.80000,69.26000,69.80000,70.73277351,4937.147590998
1650884400,2022-04-25 11:00:00,AVAX/USD,68.65869,69.14000,68.61000,69.14000,65.77417224,4547.6262686736
1650880800,2022-04-25 10:00:00,AVAX/USD,68.68523,68.89935,68.24000,68.24000,1377.20771087,93980.6541897688
1650877200,2022-04-25 09:00:00,AVAX/USD,67.46000,68.76536,67.46000,68.66999,1081.07800693,74237.61592510302
