SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1848,Bitcoin,BTC,2018-05-20 23:59:59,8562.41015625,8205.240234375,8246.990234375,8513.25,5191059968.0,145109512565.0
1849,Bitcoin,BTC,2018-05-21 23:59:59,8557.51953125,8365.1201171875,8522.330078125,8418.990234375,5154990080.0,143518943480.0
1850,Bitcoin,BTC,2018-05-22 23:59:59,8423.25,8004.580078125,8419.8701171875,8041.77978515625,5137010176.0,137104106176.0
1851,Bitcoin,BTC,2018-05-23 23:59:59,8054.66015625,7507.8798828125,8037.080078125,7557.81982421875,6491120128.0,128868479514.0
1852,Bitcoin,BTC,2018-05-24 23:59:59,7738.60009765625,7331.14013671875,7561.1201171875,7587.33984375,6049220096.0,129385391552.0
1853,Bitcoin,BTC,2018-05-25 23:59:59,7659.14013671875,7392.64990234375,7592.2998046875,7480.14013671875,4867829760.0,127573690458.0
1854,Bitcoin,BTC,2018-05-26 23:59:59,7595.16015625,7349.1201171875,7486.47998046875,7355.8798828125,4051539968.0,125469061263.0
1855,Bitcoin,BTC,2018-05-27 23:59:59,7381.740234375,7270.9599609375,7362.080078125,7368.22021484375,4056519936.0,125695017596.0
1856,Bitcoin,BTC,2018-05-28 23:59:59,7419.0498046875,7100.89013671875,7371.31005859375,7135.990234375,5040600064.0,121747389422.0
1857,Bitcoin,BTC,2018-05-29 23:59:59,7526.419921875,7090.68017578125,7129.4599609375,7472.58984375,5662660096.0,127502651064.0
1858,Bitcoin,BTC,2018-05-30 23:59:59,7573.77001953125,7313.60009765625,7469.72998046875,7406.52001953125,4922540032.0,126391893474.0
1859,Bitcoin,BTC,2018-05-31 23:59:59,7608.89990234375,7361.1298828125,7406.14990234375,7494.169921875,5127130112.0,127902999390.0
1860,Bitcoin,BTC,2018-06-01 23:59:59,7604.72998046875,7407.33984375,7500.7001953125,7541.4501953125,4921460224.0,128725854692.0
1861,Bitcoin,BTC,2018-06-02 23:59:59,7695.830078125,7497.259765625,7536.72021484375,7643.4501953125,4939299840.0,130481526036.0
1862,Bitcoin,BTC,2018-06-03 23:59:59,7754.89013671875,7613.0400390625,7632.08984375,7720.25,4851760128.0,131808021256.0
1863,Bitcoin,BTC,2018-06-04 23:59:59,7753.81982421875,7474.0400390625,7722.52978515625,7514.47021484375,4993169920.0,128312205314.0
1864,Bitcoin,BTC,2018-06-05 23:59:59,7643.22998046875,7397.0,7500.89990234375,7633.759765625,4961739776.0,130365918088.0
1865,Bitcoin,BTC,2018-06-06 23:59:59,7680.43017578125,7502.009765625,7625.97021484375,7653.97998046875,4692259840.0,130725095161.0
1866,Bitcoin,BTC,2018-06-07 23:59:59,7741.27001953125,7650.81982421875,7650.81982421875,7678.240234375,4485799936.0,131153169176.0
1867,Bitcoin,BTC,2018-06-08 23:59:59,7698.18994140625,7558.39990234375,7685.14013671875,7624.919921875,4227579904.0,130256218613.0
1868,Bitcoin,BTC,2018-06-09 23:59:59,7683.580078125,7531.97998046875,7632.52001953125,7531.97998046875,3845220096.0,128682085689.0
1869,Bitcoin,BTC,2018-06-10 23:59:59,7499.5498046875,6709.06982421875,7499.5498046875,6786.02001953125,5804839936.0,115948312827.0
1870,Bitcoin,BTC,2018-06-11 23:59:59,6910.18017578125,6706.6298828125,6799.2900390625,6906.919921875,4745269760.0,118025877189.0
1871,Bitcoin,BTC,2018-06-12 23:59:59,6907.9599609375,6542.080078125,6905.81982421875,6582.35986328125,4654380032.0,112491874164.0
1872,Bitcoin,BTC,2018-06-13 23:59:59,6631.66015625,6285.6298828125,6596.8798828125,6349.89990234375,5052349952.0,108530585830.0
1873,Bitcoin,BTC,2018-06-14 23:59:59,6707.14013671875,6334.4599609375,6342.75,6675.35009765625,5138710016.0,114106009748.0
1874,Bitcoin,BTC,2018-06-15 23:59:59,6681.080078125,6433.8701171875,6674.080078125,6456.580078125,3955389952.0,110378702283.0
1875,Bitcoin,BTC,2018-06-16 23:59:59,6592.490234375,6402.2900390625,6455.4501953125,6550.16015625,3194170112.0,111992015616.0
1876,Bitcoin,BTC,2018-06-17 23:59:59,6589.10986328125,6499.27001953125,6545.52978515625,6499.27001953125,3104019968.0,111134754810.0
1877,Bitcoin,BTC,2018-06-18 23:59:59,6781.14013671875,6446.68017578125,6510.06982421875,6734.81982421875,4039200000.0,115176197712.0
1878,Bitcoin,BTC,2018-06-19 23:59:59,6822.5,6709.919921875,6742.39013671875,6769.93994140625,4057029888.0,115789919278.0
1879,Bitcoin,BTC,2018-06-20 23:59:59,6821.56005859375,6611.8798828125,6770.759765625,6776.5498046875,3888640000.0,115916357344.0
1880,Bitcoin,BTC,2018-06-21 23:59:59,6810.93994140625,6715.169921875,6780.08984375,6729.740234375,3529129984.0,115129700024.0
1881,Bitcoin,BTC,2018-06-22 23:59:59,6747.080078125,6006.60009765625,6737.8798828125,6083.68994140625,5079810048.0,104088814967.0
